"constant_id","domain","constant_or_rule","paper_disclosure","sb3_or_gymnasium_standard_default","legacy_candidate_read_only","recommended_study_value","sensitivity_risk","status","approval_note"
"MC-001","pkpd","LBM exponent","Yun print omits exponent; cited Schnider/Minto James equation uses square","not_applicable","square","(weight/height)^2 from the cited primary model","high_parameter_and_unit_risk","recommended_pending_human_approval","Approve cited-source correction before Stage I."
"MC-002","pkpd","Minto Cl1 LBM center symbol","Yun prints undefined h18; Minto model and Yun table provide f18=55","not_applicable","f18=55","use f18=55 and retain typography provenance","high_parameter_risk","recommended_pending_human_approval","Approve explicit correction before Stage I."
"MC-003","pkpd","Minto f12","Yun table 0.030; cited Minto parameterization 0.0301","not_applicable","0.0301","primary analysis 0.0301 with 0.030 sensitivity variant","medium_accumulating_pk_risk","recommended_pending_human_approval","Approve authority resolution and sensitivity requirement."
"MC-004","pkpd","remifentanil amount and concentration unit","Yun calls both drugs mg but uses Ce50=19.3 microgram/L","not_applicable","microgram and microgram/L","microgram internally; microgram/min input; microgram/L Cp and Ce","critical_unit_scale_risk","recommended_pending_human_approval","Must be resolved before any numerical test."
"MC-005","pkpd","numerical integration method","not disclosed","not_applicable","exact zero-order-hold matrix exponential","exact zero-order-hold matrix exponential for piecewise-constant inputs","high_numerical_fidelity_risk","recommended_pending_human_approval","Compare independently with a high-accuracy ODE solver in Stage IV."
"MC-006","pkpd","numerical integration interval","not disclosed; 10 s is action interval only","not_applicable","1 s internal step","1 s diagnostic output with exact 10 s zero-order-hold transition","high_short_transient_risk","recommended_pending_human_approval","Sensitivity at 0.1, 0.5, 1, and 10 s if a stepwise solver is used."
"MC-007","pkpd","initial compartment amounts and Ce","not disclosed","not_applicable","all-zero drug state","zero drug amounts and Ce for induction-only synthetic validation; separately specify maintenance initialization","high_reset_and_horizon_risk","recommended_pending_human_approval","Do not equate this recommendation with the paper reset."
"MC-008","pkpd","Gaussian BIS noise","Yun 2023 unspecified; Yun 2024 states N(10,0.4) without parameter semantics","not_applicable","optional additive noise mode","deterministic primary validation; separate zero-mean sensitivity models only after approval","high_reward_and_policy_risk","recommended_pending_human_approval","No stochastic noise is paper-faithful until distribution semantics are approved."
"MC-009","pkpd","effect-site 10 percent random drop","Only auxiliary Yun 2024 mentions approximately 10 percent with a normal distribution; update rule absent","not_applicable","disabled","disabled in primary reconstruction; optional sensitivity after explicit distribution approval","high_dynamics_risk","recommended_pending_human_approval","Do not combine with BIS noise by inference."
"MC-010","environment","LOWESS span and online boundary rule","LOWESS named; span, weighting, edge handling, and online causality absent","not_applicable","raw causal BIS substituted in legacy","do not use LOWESS in confirmatory online P0/P1; retain Protocol v1.3.1 causal observation rule","high_future_leakage_risk","recommended_pending_human_approval","If a Yun-only replication arm is later added, specify causal LOWESS separately."
"MC-011","environment","cumulative history window W","symbol W disclosed without number","not_applicable","60 s","60 s to align six 10 s Protocol v1.3.1 history points","medium_state_semantics_risk","recommended_pending_human_approval","This is a study recommendation, not a Yun value."
"MC-012","environment","reward alpha","symbol disclosed without value","not_applicable","positive parameter required; no approved legacy value","1.0 BIS unit with sensitivity at 0.1, 0.5, 2.0, and 5.0","critical_reward_scale_risk","recommended_pending_human_approval","Reward ranking and gradient scale depend directly on alpha."
"MC-013","environment","episode initialization and warm-up","not disclosed; a figure uses 150 s of initial model input","Gymnasium reset returns observation and info and accepts seed","repeat snapshot with mask in legacy","zero-drug induction reset for synthetic Stage IV; template-conditioned reset only after Stage V","high_distribution_shift_risk","recommended_pending_human_approval","150 s figure input is not adopted as a reset rule."
"MC-014","environment","termination and truncation","not disclosed","Gymnasium separates terminated from truncated","fixed-horizon truncation","no physiologic termination in initial research simulator; approved time limit returns truncated=true; numerical invalidity is terminated=true","high_bootstrap_risk","recommended_pending_human_approval","Canonical time limit remains separately pending."
"MC-015","environment","canonical episode and evaluation horizon","Paper reports 10000 s target-change and 20000 s long-horizon examples but no canonical episode","not_applicable","1800 s legacy episode","3600 s primary evaluation plus paper 10000 s and 20000 s stress scenarios","high_long_horizon_risk","recommended_pending_human_approval","Retain every horizon as a labeled scenario."
"MC-016","environment","action physical unit and adapter","Paper alternates infusion rate with 27.7 mg over 10 s","Box action space has no physical default","normalized [-1,1] mapped to mg/min","environment action in mg per 10 s on [0,27.7]; optional library wrapper maps normalized action explicitly","critical_dose_scale_risk","recommended_pending_human_approval","No patient use; research-only bound."
"MC-017","environment","Gaussian action boundary handling","Gaussian policy disclosed; squashing or clipping absent","SB3 clips Box actions by default for PPO policies; gSDE false","single clip to normalized Box","explicit one-time wrapper clipping with logged pre/post action and saturation rate","high_policy_bias_risk","recommended_pending_human_approval","Exact SB3 version and behavior require dependency lock."
"MC-018","environment","remifentanil schedule sampling universe","Prior target-BIS-50 histories are described without an exact public case list or distribution","not_applicable","synthetic schedules","predeclared synthetic schedules for Stages I-IV; subject-split real timing templates only after Stage V","high_exogenous_disturbance_risk","recommended_pending_human_approval","No legacy schedule or outcome is reused."
"MC-019","ppo","gamma","not numerically disclosed in Yun","0.99 in Stable-Baselines3 2.7.1 documentation","0.99","0.99 with sensitivity 0.95 and 0.995","high_long_horizon_credit_risk","recommended_pending_human_approval","Library default is not a Yun value."
"MC-020","ppo","GAE lambda","not numerically disclosed in Yun","0.95 in Stable-Baselines3 2.7.1 documentation","0.95","0.95 with sensitivity 0.90 and 0.99","high_bias_variance_risk","recommended_pending_human_approval","Library default is not a Yun value."
"MC-021","ppo","clip epsilon","not numerically disclosed in Yun; PPO paper gives 0.2 as an example","0.2 in Stable-Baselines3 2.7.1 documentation","0.2","0.2 with sensitivity 0.1 and 0.3","medium_update_stability_risk","recommended_pending_human_approval","Do not attribute 0.2 to Yun."
"MC-022","ppo","rollout length","not disclosed","2048 steps per environment in Stable-Baselines3 2.7.1 documentation","2048","2048 with a divisibility and episode-boundary audit","high_temporal_correlation_risk","recommended_pending_human_approval","10 s actions make this 20480 s of one-environment experience per rollout."
"MC-023","ppo","minibatch size","not disclosed","64 in Stable-Baselines3 2.7.1 documentation","64","64 with sensitivity 128 and 256 if rollout divisibility holds","medium_gradient_variance_risk","recommended_pending_human_approval","Library default is not a Yun value."
"MC-024","ppo","optimizer epochs per update","Yun reports Training epoch 10^6 but not PPO minibatch epochs","10 in Stable-Baselines3 2.7.1 documentation","10","10 with sensitivity 5 and early KL diagnostics","medium_overfit_per_rollout_risk","recommended_pending_human_approval","Do not reinterpret 10^6 as n_epochs."
"MC-025","ppo","value coefficient","Yun reports 0.1","0.5 in Stable-Baselines3 2.7.1 documentation","0.1 in paper-oriented legacy notes","0.1 for a paper-style wrapper; 0.5 only in a separately labeled SB3-default scenario","high_objective_mismatch_risk","recommended_pending_human_approval","Choice depends on whether Stage III uses paper-style auxiliary losses or unmodified SB3."
"MC-026","ppo","entropy coefficient","Yun defines policy entropy but does not report a coefficient in Table B.5","0.0 in Stable-Baselines3 2.7.1 documentation","0.0","0.0 primary with sensitivity 0.001","medium_exploration_risk","recommended_pending_human_approval","Do not infer inclusion from the entropy definition alone."
"MC-027","ppo","maximum gradient norm","not disclosed","0.5 in Stable-Baselines3 2.7.1 documentation","0.5","0.5","medium_training_stability_risk","recommended_pending_human_approval","Library default only."
"MC-028","ppo","network activations and precise layer semantics","Table B.5 gives dimensions but no activations and incompletely describes layers","SB3 MlpPolicy defaults depend on versioned policy implementation","Tanh and separate 64x64 actor/critic","paper architecture adapter with activation chosen only after a diagram/table reconciliation review","high_architecture_fidelity_risk","recommended_pending_human_approval","No network is instantiated in Phase 7E."
"MC-029","ppo","optimizer beta epsilon and schedule","Adam and learning rate 0.001 disclosed; remaining settings absent","PyTorch/SB3 version-dependent Adam defaults and constant schedule unless configured","framework defaults","constant 0.001 only in paper-style scenario; record exact locked Adam defaults later","medium_reproducibility_risk","recommended_pending_human_approval","Dependency lock must precede execution."
"MC-030","ppo","total training budget interpretation","Table B.5 shows Training epoch 10^6 without mapping to steps, episodes, or updates","total_timesteps is user-supplied","102400 or 1024000 legacy candidates prohibited as authority","do not set budget until Stage III timing benchmark; retain 10^6 only as unresolved paper label","critical_compute_and_comparison_risk","recommended_pending_human_approval","Requires a separate human-approved budget."
"MC-031","observation","BIS observation-age clip maximum","Protocol v1.3.1 fixes structure but not numeric cap","not_applicable","none approved","max(P0 cap,P1 cap)=30 s as a predeclared common cap candidate","medium_observation_scale_risk","recommended_pending_human_approval","Human approval remains required before adapter implementation."
"MC-032","observation","sex tensor encoding","Protocol v1.3.1 leaves physical encoding pending","not_applicable","male indicator","one binary channel with an explicit category dictionary and rejection of unknown values","medium_schema_and_generalization_risk","recommended_pending_human_approval","Conceptual S0/S1 counts remain 34/42 until physical schema approval."
"MC-033","ppo","random seeds","not disclosed for Yun training/evaluation","seed is user-supplied and defaults to None","7,42,84 legacy study seeds","retain already planned independent seeds 7,42,84 only after split and implementation approval","high_variance_and_selection_risk","recommended_pending_human_approval","No legacy best seed or metric may be used."
"MC-034","ppo","SB3 dependency version","not applicable to Yun paper","current documentation inspected at 2.7.1; no version is installed or locked","unavailable in current environment","select and lock a tested release only after Stage II contract passes","high_api_and_reproducibility_risk","recommended_pending_human_approval","No dependency change is authorized in Phase 7E."
