track_name,row_count,case_count,distinct_tid_count,review_status,auto_approved
Solar8000/HR,6387,6387,6387,pending_human_review,False
Solar8000/PLETH_HR,6386,6386,6386,pending_human_review,False
Solar8000/PLETH_SPO2,6386,6386,6386,pending_human_review,False
Primus/CO2,6362,6362,6362,pending_human_review,False
Primus/PAMB_MBAR,6361,6361,6361,pending_human_review,False
Primus/SET_AGE,6361,6361,6361,pending_human_review,False
Primus/AWP,6360,6360,6360,pending_human_review,False
SNUADC/ECG_II,6355,6355,6355,pending_human_review,False
Primus/VENT_LEAK,6344,6344,6344,pending_human_review,False
Primus/ETCO2,6339,6339,6339,pending_human_review,False
Primus/FEN2O,6339,6339,6339,pending_human_review,False
Primus/FIN2O,6339,6339,6339,pending_human_review,False
Primus/INCO2,6339,6339,6339,pending_human_review,False
Primus/MAC,6338,6338,6338,pending_human_review,False
Primus/MAWP_MBAR,6338,6338,6338,pending_human_review,False
Primus/FEO2,6335,6335,6335,pending_human_review,False
Primus/FIO2,6335,6335,6335,pending_human_review,False
Primus/RR_CO2,6328,6328,6328,pending_human_review,False
Solar8000/VENT_MAWP,6299,6299,6299,pending_human_review,False
Solar8000/ETCO2,6242,6242,6242,pending_human_review,False
Solar8000/INCO2,6242,6242,6242,pending_human_review,False
Solar8000/FEO2,6239,6239,6239,pending_human_review,False
Solar8000/FIO2,6239,6239,6239,pending_human_review,False
Solar8000/RR_CO2,6177,6177,6177,pending_human_review,False
SNUADC/PLETH,6157,6157,6157,pending_human_review,False
Primus/SET_FIO2,6047,6047,6047,pending_human_review,False
Primus/SET_FRESH_FLOW,6042,6042,6042,pending_human_review,False
Primus/MV,6022,6022,6022,pending_human_review,False
Primus/TV,6018,6018,6018,pending_human_review,False
Primus/COMPLIANCE,6017,6017,6017,pending_human_review,False
Primus/PIP_MBAR,6007,6007,6007,pending_human_review,False
Primus/PEEP_MBAR,5999,5999,5999,pending_human_review,False
Primus/PPLAT_MBAR,5999,5999,5999,pending_human_review,False
Solar8000/VENT_MV,5987,5987,5987,pending_human_review,False
Solar8000/VENT_RR,5987,5987,5987,pending_human_review,False
Primus/SET_INSP_TM,5980,5980,5980,pending_human_review,False
Primus/SET_INTER_PEEP,5980,5980,5980,pending_human_review,False
Primus/SET_RR_IPPV,5980,5980,5980,pending_human_review,False
Solar8000/VENT_TV,5980,5980,5980,pending_human_review,False
Solar8000/ST_II,5978,5978,5978,pending_human_review,False
Solar8000/VENT_PIP,5971,5971,5971,pending_human_review,False
Primus/SET_INSP_PAUSE,5964,5964,5964,pending_human_review,False
Primus/SET_PIP,5964,5964,5964,pending_human_review,False
Primus/SET_TV_L,5964,5964,5964,pending_human_review,False
Solar8000/VENT_PPLAT,5960,5960,5960,pending_human_review,False
Solar8000/VENT_INSP_TM,5939,5939,5939,pending_human_review,False
Solar8000/BT,5935,5917,5935,pending_human_review,False
BIS/EEG1_WAV,5871,5871,5871,pending_human_review,False
BIS/EEG2_WAV,5871,5871,5871,pending_human_review,False
BIS/SQI,5867,5867,5867,pending_human_review,False
Solar8000/NIBP_MBP,5763,5763,5763,pending_human_review,False
Solar8000/NIBP_DBP,5751,5751,5751,pending_human_review,False
Solar8000/NIBP_SBP,5751,5751,5751,pending_human_review,False
Primus/FLOW_AIR,5644,5644,5644,pending_human_review,False
Primus/FLOW_N2O,5644,5644,5644,pending_human_review,False
Primus/FLOW_O2,5643,5643,5643,pending_human_review,False
BIS/EMG,5577,5577,5577,pending_human_review,False
BIS/SEF,5569,5569,5569,pending_human_review,False
BIS/SR,5569,5569,5569,pending_human_review,False
BIS/TOTPOW,5551,5551,5551,pending_human_review,False
Orchestra/RFTN20_VOL,4774,4773,4774,pending_human_review,False
Orchestra/RFTN20_CE,4771,4770,4771,pending_human_review,False
Orchestra/RFTN20_CP,4771,4770,4771,pending_human_review,False
Orchestra/RFTN20_CT,4771,4770,4771,pending_human_review,False
Solar8000/VENT_SET_TV,4253,4253,4253,pending_human_review,False
Solar8000/ART_DBP,3725,3725,3725,pending_human_review,False
Solar8000/ART_SBP,3725,3725,3725,pending_human_review,False
Solar8000/ART_MBP,3724,3724,3724,pending_human_review,False
Primus/EXP_SEVO,3687,3687,3687,pending_human_review,False
Primus/INSP_SEVO,3687,3687,3687,pending_human_review,False
SNUADC/ART,3645,3645,3645,pending_human_review,False
Orchestra/PPF20_VOL,3512,3512,3512,pending_human_review,False
Orchestra/PPF20_CE,3511,3511,3511,pending_human_review,False
Orchestra/PPF20_CP,3511,3511,3511,pending_human_review,False
Orchestra/PPF20_CT,3511,3511,3511,pending_human_review,False
SNUADC/ECG_V5,3390,3390,3390,pending_human_review,False
Solar8000/GAS2_EXPIRED,3097,3097,3097,pending_human_review,False
Solar8000/GAS2_INSPIRED,3097,3097,3097,pending_human_review,False
Solar8000/ST_III,3027,3027,3027,pending_human_review,False
Solar8000/ST_I,3024,3024,3024,pending_human_review,False
Solar8000/ST_AVF,3004,3004,3004,pending_human_review,False
Solar8000/ST_AVL,3004,3004,3004,pending_human_review,False
Solar8000/ST_AVR,3004,3004,3004,pending_human_review,False
Solar8000/VENT_SET_PCP,2745,2745,2745,pending_human_review,False
Solar8000/VENT_SET_FIO2,2212,2212,2212,pending_human_review,False
Primus/EXP_DES,2046,2046,2046,pending_human_review,False
Primus/INSP_DES,2046,2046,2046,pending_human_review,False
Solar8000/CVP,1608,1608,1608,pending_human_review,False
SNUADC/CVP,1586,1586,1586,pending_human_review,False
Solar8000/RR,1294,1294,1294,pending_human_review,False
EV1000/CI,617,617,617,pending_human_review,False
EV1000/CO,617,617,617,pending_human_review,False
EV1000/SV,617,617,617,pending_human_review,False
EV1000/SVI,617,617,617,pending_human_review,False
EV1000/SVV,617,617,617,pending_human_review,False
EV1000/ART_MBP,592,592,592,pending_human_review,False
Primus/SET_INSP_PRES,381,381,381,pending_human_review,False
Vigileo/CI,323,323,323,pending_human_review,False
Vigileo/CO,323,323,323,pending_human_review,False
Vigileo/SV,323,323,323,pending_human_review,False
Vigileo/SVI,323,323,323,pending_human_review,False
Vigileo/SVV,323,323,323,pending_human_review,False
Orchestra/ROC_RATE,281,281,281,pending_human_review,False
Orchestra/ROC_VOL,281,281,281,pending_human_review,False
EV1000/SVR,255,255,255,pending_human_review,False
EV1000/SVRI,255,255,255,pending_human_review,False
EV1000/CVP,235,235,235,pending_human_review,False
Primus/SET_FLOW_TRIG,154,154,154,pending_human_review,False
Solar8000/FEM_DBP,142,142,142,pending_human_review,False
Solar8000/FEM_MBP,142,142,142,pending_human_review,False
Solar8000/FEM_SBP,142,142,142,pending_human_review,False
Orchestra/PHEN_RATE,127,127,127,pending_human_review,False
Orchestra/PHEN_VOL,127,127,127,pending_human_review,False
SNUADC/FEM,127,127,127,pending_human_review,False
Solar8000/VENT_COMPL,114,114,114,pending_human_review,False
Solar8000/VENT_MEAS_PEEP,98,98,98,pending_human_review,False
Orchestra/FUT_RATE,94,94,94,pending_human_review,False
Orchestra/FUT_VOL,94,94,94,pending_human_review,False
Orchestra/PGE1_RATE,90,90,90,pending_human_review,False
Orchestra/PGE1_VOL,90,90,90,pending_human_review,False
Orchestra/NEPI_RATE,88,88,88,pending_human_review,False
Orchestra/NEPI_VOL,88,88,88,pending_human_review,False
Solar8000/PA_DBP,81,81,81,pending_human_review,False
Solar8000/PA_MBP,81,81,81,pending_human_review,False
Solar8000/PA_SBP,81,81,81,pending_human_review,False
Orchestra/RFTN50_CE,69,68,69,pending_human_review,False
Orchestra/RFTN50_CP,69,68,69,pending_human_review,False
Orchestra/RFTN50_CT,69,68,69,pending_human_review,False
Orchestra/RFTN50_RATE,69,68,69,pending_human_review,False
Orchestra/RFTN50_VOL,69,68,69,pending_human_review,False
Vigilance/CI,65,65,65,pending_human_review,False
Vigilance/CO,65,65,65,pending_human_review,False
Vigilance/BT_PA,64,64,64,pending_human_review,False
Vigilance/SQI,63,63,63,pending_human_review,False
Vigilance/SVO2,63,63,63,pending_human_review,False
Vigilance/SNR,59,59,59,pending_human_review,False
Vigilance/SV,55,55,55,pending_human_review,False
Vigilance/SVI,55,55,55,pending_human_review,False
Vigilance/HR_AVG,53,53,53,pending_human_review,False
Vigilance/EDV,49,49,49,pending_human_review,False
Vigilance/EDVI,49,49,49,pending_human_review,False
Vigilance/ESV,49,49,49,pending_human_review,False
Vigilance/ESVI,49,49,49,pending_human_review,False
Vigilance/RVEF,48,48,48,pending_human_review,False
Invos/SCO2_L,33,33,33,pending_human_review,False
Invos/SCO2_R,33,33,33,pending_human_review,False
Orchestra/DOPA_RATE,33,33,33,pending_human_review,False
Orchestra/DOPA_VOL,33,33,33,pending_human_review,False
Orchestra/NTG_RATE,32,32,32,pending_human_review,False
Orchestra/NTG_VOL,32,32,32,pending_human_review,False
CardioQ/ABP,29,29,29,pending_human_review,False
CardioQ/CO,29,29,29,pending_human_review,False
CardioQ/FLOW,29,29,29,pending_human_review,False
CardioQ/FTc,29,29,29,pending_human_review,False
CardioQ/HR,29,29,29,pending_human_review,False
CardioQ/MD,29,29,29,pending_human_review,False
CardioQ/SD,29,29,29,pending_human_review,False
CardioQ/SV,29,29,29,pending_human_review,False
CardioQ/CI,28,28,28,pending_human_review,False
CardioQ/FTp,28,28,28,pending_human_review,False
CardioQ/MA,28,28,28,pending_human_review,False
CardioQ/PV,28,28,28,pending_human_review,False
CardioQ/SVI,28,28,28,pending_human_review,False
FMS/FLOW_RATE,15,15,15,pending_human_review,False
FMS/INPUT_AMB_TEMP,15,15,15,pending_human_review,False
FMS/INPUT_TEMP,15,15,15,pending_human_review,False
FMS/OUTPUT_AMB_TEMP,15,15,15,pending_human_review,False
FMS/OUTPUT_TEMP,15,15,15,pending_human_review,False
FMS/PRESSURE,15,15,15,pending_human_review,False
FMS/TOTAL_VOL,15,15,15,pending_human_review,False
Orchestra/EPI_RATE,9,9,9,pending_human_review,False
Orchestra/EPI_VOL,9,9,9,pending_human_review,False
Orchestra/DEX2_RATE,6,6,6,pending_human_review,False
Orchestra/DEX2_VOL,6,6,6,pending_human_review,False
Orchestra/MRN_RATE,5,5,5,pending_human_review,False
Orchestra/MRN_VOL,5,5,5,pending_human_review,False
Orchestra/DEX4_RATE,4,4,4,pending_human_review,False
Orchestra/DEX4_VOL,4,4,4,pending_human_review,False
Orchestra/DOBU_RATE,3,3,3,pending_human_review,False
Orchestra/DOBU_VOL,3,3,3,pending_human_review,False
Orchestra/OXY_RATE,3,3,3,pending_human_review,False
Orchestra/OXY_VOL,3,3,3,pending_human_review,False
Orchestra/DTZ_RATE,2,2,2,pending_human_review,False
Orchestra/DTZ_VOL,2,2,2,pending_human_review,False
Orchestra/AMD_RATE,1,1,1,pending_human_review,False
Orchestra/AMD_VOL,1,1,1,pending_human_review,False
Orchestra/NPS_RATE,1,1,1,pending_human_review,False
Orchestra/NPS_VOL,1,1,1,pending_human_review,False
Orchestra/VASO_RATE,1,1,1,pending_human_review,False
Orchestra/VASO_VOL,1,1,1,pending_human_review,False
Orchestra/VEC_RATE,1,1,1,pending_human_review,False
Orchestra/VEC_VOL,1,1,1,pending_human_review,False
Solar8000/ST_V5,1,1,1,pending_human_review,False
